authors,title,journal,link,,,
"P Yan, J Gregson, Q Tang, R Ward, Z Xu, S Du",NEO-3DF: Novel Editing-Oriented 3D Face Creation and Reconstruction,"Proceedings of the Asian Conference on Computer Vision, 486-502, 2022",,,,
"M Gholami, B Wandt, H Rhodin, R Ward, ZJ Wang",AdaptPose: Cross-Dataset Adaptation for 3D Human Pose Estimation by Learnable Motion Generation,"Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2022",,,,
"A Malik Nasser Aljalai, Chen Feng, Victor CM Leung, Rabab K Ward",Compute-and-Forward for Uplink Massive MIMO-NOMA,"30th Biennial Symposium on Communications 2021, pages 47-60, June 2022",,,,
"Yongwei Wang, Lanjun Wang, Mingquan Feng, Rabab Ward, Z Jane Wang",Reaching a Better Trade-Off Between Image Quality and Attack Success Rates in Transfer-Based Adversarial Attacks,"2022 IEEE Data Science and Learning Workshop (DSLW), May 2022",,,,
D. Karimi and R. Ward,Interpolation of CT Projections by Exploiting Their Self-Similarity and Smoothness,"IEEE ICIP 2021, Sep 2021.",,,,
"M. Abdelfattah, K. Yuan, Z. Jane Wang, R. Ward",Towards Universal Physical Attacks On Cascaded Camera-Lidar 3D Object Detection Models,"IEEE ICIP 2021, 2021.",,,,
"Mazen Abdelfattah, Kaiwen Yuan, Z Jane Wang, Rabab Ward",Adversarial attacks on camera-lidar models for 3d car detection,"2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), Sep 2021",,,,
"R. Hussein, S Lee, R Ward, MJ McKeown",Epileptic seizure prediction: A semi-dilated convolutional neural network architecture,"25th International Conference on Pattern Recognition (IICPR), pp .5436-5543, 2020",,,,
"AMN. Aljalai, C. Feng, VCM. Leung, R. Ward",Improving the Energy Efficiency of DFT-s-OFDM in Uplink Massive MIMO with Barker Codes,"2020 IEEE International Conference on Computing, Networking and Communications (ICNC), Hawaii, Feb 2020.",,,,
"R. Hussein, R. Ward",Epileptic Seizure Prediction: A Multi-Scale Convolutional Neural Network Approach,"2019 IEEE Global Conference on Signal and Information Processing (GlobalSIP), pp. 1-5, November 2019.",,,,
"R. Hussein, H. Palangi, Z. Jane Wang, and R. Ward",Robust Detection of Epileptic Seizures using Deep Neural Networks,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), pp. 2546 - 2550, 2018.",,,,
"Jianzhe Lin, Rabab Ward, Z. Jane Wang",Deep transfer learning for Hyperspectral Image classification,"Proc. of MMSP 2018, 2018.",,,,
"A. N. Aljalai, S. Shukla, C. Feng, V. Leung, and R. Ward",On the Performance of Using DFT-s-OFDM in Uplink Massive MIMO for Improving Energy Efficiency,"submitted to IEEE GlobeCom 2019, May 2018.",,,,
"R. Hussein, H. Palangi, Z. Jane Wang, and R. Ward",Robust Detection of Epileptic Seizures using Deep Neural Networks,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Accepted, 2018.",,,,
"R. Hussein, M. Elgendi and R. Ward",High Performance EEG Feature Extraction for Fast Epileptic Seizure Detections,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP),  2017.",,,,
"J. Maggu, R. Hussein, A. Majumdar and R. Ward",Impulse Denoising via Transform Learning,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP), 2017.",,,,
"P. Singh, R. Hussein, A. Majumdar and R. Ward",Joint-sparse Dictionary Learning: Denoising Multiple Measurement Vectors,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP),  2017.",,,,
"M. Rouf, and R. Ward",High dynamic range imaging with a single exposure-multiplexed image using smooth contour prior,"Proc. IS&T Electronic Imaging (Image Processing: Algorithms and Systems), 2017.",,,,
D. Karimi and R. K. Ward,Image reconstruction in computed tomography using variance-reduced stochastic gradient descent,"IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017), Melbourne, VIC, pp. 543-547, 2017.",,,,
"M. Rouf, and R. Ward",Dynamic range expansion of single images using intensity-invariant  patch correspondences,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP), 2017.",,,,
"A. M. Nasser, C. Feng, V. Leung, and R. K. Ward",Eliminating Pilot Contamination Using Dual Pilot Sequences in Massive MIMO ,"IEEE 86th Vehicular Technology Conference: IEEE VTC2017-Fall, Toronto, Accepted, September 2017.",,,,
A. Majumdar and R. Ward,Robust Greedy Deep Dictionary Learning for ECG Arrhythmia Classification,"the International Joint Conference on Neural Networks (IJCNN 2017), pp. 4400-4407, 2017.",,,,
"R. Hussein, R. K. Ward, Z. J. Wang",L1-Regularization Based EEG Feature Learning for Detecting Epileptic Seizure,"IEEE Global Conference on Signal and Information Processing (GlobalSIP), Washington, DC, pp. 1171-1175. 2016.",,,,
"H. Palangi, R. Ward, and L. Deng",Reconstruction of Sparse Vectors in Compressive Sensing with Multiple Measurement Vectors using Bidirectional Long Short-Term Memory,"IEEE Global Conference on Signal and Information Processing (GlobalSIP), Washington, DC, pp. 192-196, 2016.",,,,
"R. Hussein, R. K. Ward, Z. J. Wang, A. Mohamed",Energy Efficient EEG Monitoring System for Wireless Epileptic Seizure Detection,"IEEE International Conference on Machine Learning and Applications (ICMLA), Anaheim, CA, pp. 294-299.  2016.",,,,
"Hossein Bashashati, R. K. Ward, Ali Bashashati",Neural Network Conditional Random Fields for Self-Paced Brain Computer Interfaces,"IEEE International Conference on Machine Learning and Applications (ICMLA), Anaheim, CA, pp. 939-943, 2016.",,,,
A. Majumdar and R. Ward,Robust dictionary learning: Application to signal disaggregation,"2016 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Shanghai, pp. 2469-2473, 2016.",,,,
"Khurana, P., A. Majumdar, and R. Ward",Class-wise Deep Dictionaries for EEG Classification,"Inter Joint Conf. on Neural Networks, Vancouver,  BC, pp. 3556-3563, 2016.",,,,
"A. Majumdar, and R. Ward",Real-time Reconstruction of EEG Signals from Compressive Measurements via Deep Learning,"Inter Joint Conf. on Neural Networks, Vancouver, BC, pp. 2856-2863, 2016.",,,,
"Majumdar, A., R. K. Ward and M. Gupta",Non Intrusive Load Monitoring: A Robust Sparse Representation Approach,submitted to SPCOM 2016.,,,,
"Mahrous, H., and R. K. Ward",A Low Power Dirac Basis Compressed Sensing Framework for EEG using a Meyer Wavelet Function Dictionary,"2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),  Vancouver, BC, , pp. 1-6, 2016.",,,,
"Shahid, H., and R. K. Ward",Codebook Design for Vector Quantization using Hexagonal Partitioning,"2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE), Vancouver, BC, , pp. 1-6, 2016.",,,,
"Bashashati, H., R. K. Ward, and A. Bashashati",Bayesian Optimization of BCI Parameters,"2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE), Vancouver, BC, , pp. 1-5, 2016.",,,,
"Rouf, M., D. Reddy, K. Pulli and R. Ward",Fast edge-directed single-image super-resolution,"IS&T International Symposium on Electronic Imaging. Pp. 1-8, 2016.",,,,
"Sheikhzadeh, F.,  Carraro, A., Korbelic, J.,  MacAulay, C., Guillaud, M., and Ward, R. K.","Automatic labeling of molecular biomarkers on a cell-by-cell basis in immunohistochemistry images using convolutional neural networks” SPIE- Medical Imaging Symposium, San Diego, US. Vol. 9791, 2016.",,,,,
"Karimi, D., and R. Ward",Sinogram smoothing and interpolation via alternating projections onto the slope and curvature constraints,"SPIE Medical Imaging Symposium, San Diego CA, vol. 9784, 2016.",,,,
"Karimi, D., and R. Ward","A novel structured dictionary for fast processing of 3D medical images, with application to computed tomography restoration and denoising","SPIE Medical Imaging Symposium, San Diego CA, vol. 9784, 2016.",,,,
"Palangi, H., R. Ward, and L. Deng",Exploiting Correlations Among Channels in Distributed Compressive Sensing with Convolutional Deep Stacking Networks,"in IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Shanghai, pp. 2692-2696, 2016",,,,
"Bashashati, H., R. K.Ward and A. Bashashati",Hidden Markov Support Vector Machines for Self-Paced Brain Computer Interfaces,"International Conference on Machine Learning Applications (IEEE ICMLA), Miami, FL, pp. 382-385, 2015.",,,,
"Valizadeh, S., P. Nasiopoulos, and R. Ward",Optimal Lagrange Multiplier in Perceptually-Friendly High Efficiency Video Coding for Mobile Applications,"The International Conference on Computing, Networking and Communications (ICNC16), CNC Workshop, Hawaii, USA, Feb. 2016.",,,,
