authors,title,journal,link
"Abdelmonem M Ibrahim, MA Tawhid, Rabab K Ward",A binary water wave optimization for feature selection,"International Journal of Approximate Reasoning, Elsevier, Vol 120, pp 74-91, May 2020.",https://www.sciencedirect.com/science/article/pii/S0888613X19304566
"Manish Hosanee, Gabriel Chan, Kaylie Welykholowa, Rachel Cooper, Panayiotis A Kyriacou, Dingchang Zheng, John Allen, Derek Abbott, Carlo Menon, Nigel H Lovell, Newton Howard, Wee-Shian Chan, Kenneth Lim, Richard Fletcher, Rabab Ward, Mohamed Elgendi",Cuffless Single-Site Photoplethysmography for Blood Pressure Monitoring,"Journal of Clinical Medicine, Vol 9, Issue 3, pp 723, 14 pages, March 2020.",https://www.mdpi.com/2077-0383/9/3/723
"Jianzhe Lin, Liang Zhao, Qi Wang, Rabab Ward, Z Jane Wang",DT-LET: Deep transfer learning by exploring where to transfer,"Neurocomputing, Elsevier, Vol. 390, pp
99-107, May 2020",https://doi.org/10.1016/j.neucom.2020.01.042
"Kelvin Kian Loong Wong, Mohamed Elgendi, Richard Ribon Fletcher, Yongbo Liang, Rabab Ward, Yasmin Halawani, Baker Mohammad, Muath Abu Lebdeh, Said Al-Sarawi, Gloria Martínez, Newton Howard, Derek Abbott, Mahmoud Al-Qutayri, Suash Deb, Zhonghuan Tian, Simon Fong, Roberto Shinmoto Torres, Renuka Visvanathan, Damith Ranasinghe, Amirali Amirsoleimani, Jafar Shamsi, Majid Ahmadi, Fabing Duan, François Chapeau-Blondeau, Yin Xiaoxia, Sillas Hadjiloucas, Yanchun Zhang, Liyan Xu, Tony Vladusich, Mark D Mcdonnell, Steve Hui, Yansong Gao, Martin L Ashdown, Andrew P Robinson, Steven L Yatomi-Clarke, Brendon Coventry, Muhammad A Hasan, Winnie CW Chu, Sam Darvishi, Michael C Ridding, Mathias Baumert, Lili Niu, Yanling Zhang, Long Meng, Ming Qian, Yalian Zhang, Hairong Zheng, Nicolangelo Iannella, Thomas Launey, Shigeru Tanaka, Fahimeh Dehkhoda, Javad Frounchi, Sarah Anita Immanuel, Mark Kohler, Muammar M Kabir, W-H Ng Brian, Jing He, Vassilios Sarafis, Mostafa Rahimi Azghadi, Wei Yang, Andreas Voss, Nigel G Stocks, Charles EM Pearce, Adrian P Flitney, I Jones, TJ Rainsford, Bernd Michael Fischer, Withawat Withayachumnankul, Pau Amengual, Andrew Allison, Raúl Toral, Yumei Ma, Yvonne Pamula, Samuel P Mickan, Kwang-Su Lee, Toh-Ming Lu, XC Zhang, Mayank Kaushik, Yiwen Sun, Zexuan Zhu, Siping Chen, Emma Pickwell-MacPherson, Kotagiri Ramamohanarao, Kelvin KL Wong, Zhonghua Sun, Jiyuan Tu","Optimization in the Design of Natural Structures, Biomaterials, Bioinformatics and Biometric Techniques for Solving Physiological Needs and Ultimate Performance of Bio-devices","Current Bioinformatics, Vol 14, Issue 5, pp 374-375, Jan 2019.",""
"Mohamed Elgendi, Richard Fletcher, Yongbo Liang, Newton Howard, Nigel H. Lovell, Derek Abbott, Kenneth Lim & Rabab Ward ",The use of photoplethysmography for assessing hypertension,npj Digital Medicine 2019; 2: 60.,https://www.nature.com/articles/s41746-019-0136-7
"Yongwei Wang, Rabab Ward and Z. Jane Wang ",Coarse-to-fine Image DeHashing Using Deep Pyramidal Residual Learning,"IEEE Signal Processing Letters, Vol. 26, Issue 9, PP 1295-1299, May 2018",https://doi.org/10.1109/LSP.2019.2917073
"Y.,Liang, D. Abbott, N. Howard, K. Lim, R. Ward, and M. Elgendi",How Effective Is Pulse Arrival Time for Evaluating Blood Pressure? Challenges and Recommendations from a Study Using the MIMIC Database,"Journal of Clinical Medicine (MDPI), Vol 8, Issue 3, 337, 14 pages, 2019.",https://doi.org/10.3390/jcm8030337
"Y. Liu, X. Chen, R.K. Ward, and Z.J. Wang",Medical Image Fusion via Convolutional Sparsity based Morphological Component Analysis,"IEEE Signal Processing Letters, IEEE Signal Processing Letters, Vol.25, Issue 3,pp. 485-489. March 2019.",
"A. Awad, A. Emam, A. Chiasserini, A. Mohamed, A. Jaoua, and R. Ward","Edge-based Compression and Classification for Smart Healthcare Systems: Concept, Implementation and Evaluation","Expert Systems With Applications, vol. 117, pp. 1-14, ISSN 0957-4174, March 2019.",
"Y. Liang, Z. Chen, R. Ward, M. Elgendi",Hypertension Assessment Using Photoplethysmography: A Risk Stratification Approach,"Journal of Clinical Medicine vol. 8 , issue 1, 12, 2019.",https://doi.org/10.3390/jcm8010012
"R. Hussein, H. Palangi, R. Ward, and Z. J. Wang",Optimized Deep Neural Network Architecture for Robust Detection of Epileptic Seizures using EEG Signals,"Clinical Neurophysiology, Elsevier, Vol 130, Issue 1, pp 25-37, Jan 2019.",
"Jianzhe Lin, Liang Zhao, Shuying Li, Rabab Ward, and Z. Jane Wang",Active-Learning-Incorporated Deep Transfer Learning for Hyperspectral Image Classification,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, vol. 11, no. 11, pp. 4048-4062, Nov. 2018.",https://doi.org/10.1109/JSTARS.2018.2874225
"Y. Liang, Z. Chen, R. Ward, M. Elgendi",Photoplethysmography and Deep Learning: Enhancing Hypertension Risk Stratification,"Biosensors 2018, 8(4), 101.",
"J. Cheng, X. Chen, R. Song, Y. Liu, R. Ward, Z. Wang",Video-based Heart Rate Measurement: Recent Advances and Future Prospects,"IEEE Transactions on Instrumentation & Measurement, pp.1-16, November 2018.",
"S. Valizadeh, P. Nasiopoulos and R. Ward",Perceptual rate distortion optimization of 3D–HEVC using PSNR-HVS,"Springer Multimedia Tools and Applications, Vol. 77, Issue 17, pp. 22985-23008, September 2018.",
"G. Martınez, N. Howard, D. Abbott, K. Lim, R. Ward, and M. Elgendi",Can Photoplethysmography Replace Arterial Blood Pressure in the Assessment of Blood Pressure?,"Journal of Clinical Medicine. 2018, 7(10), 316.",https://doi.org/10.3390/jcm7100316
"Y. Liang, Z. Chen, R. Ward, and M. Elgendi",Hypertension Assessment via ECG and PPG Signals: An Evaluation Using MIMIC Database,"Diagnostics 8 (3), 65, 2018.",
"M. Rouf, R. Ward",High dynamic range imaging with a single exposure-multiplexed image using smooth contour prior,"Electronic Imaging vol. 13, pp. 1-6, 2018.",
"Y. Liang, M. Elgendi, Z. Chen, R. Ward",An optimal filter for short photoplethysmogram signals,"Nature Scientific Data (5), 180076, 2018.",
"C. Guo, A. Nasser Aljalai, C. Feng, L. Zhao, V. C. M. Leung, and R. K. Ward",Compute-and-Forward for Uplink Non-Orthogonal Multiple Access,"IEEE Wireless Communications Letters, pp.986-989, June 2018.",
"R. Hussein, M. Elgendi, Z. Jane Wang, R. Ward",Robust detection of epileptic seizures based on L1-penalized robust regression of EEG signals,"Expert Systems with Applications, vol. 104, pp. 153-167, ISSN 0957-4174, 2018.",
"M. Elgendi, Y. Liang, and R. Ward",Toward Generating More Diagnostic Features from Photoplethysmogram Waveforms,"Diseases, vol. 6, no. 20, March 2018.",
"M. Elgendi, A. Al-Ali, A. Mohamed, and R. Ward",Improving Remote Health Monitoring: A low-complexity ECG Compression Approach,"Diagnostics, vol. 8, no. 1, 10, 2018.",
"F. Sheikhzadeh, R. Ward, D. van Niekerk, M. Guillaud",Automatic labeling of molecular biomarkers of imunohistochemistry images using fully convolutional networks,"PLoS ONE, vol. 13, no. 1,  doi.org/10.1371/journal.pone.0190783, January 2018.",
"Y. Liu, X. Chen, Z. Wang, Z. Jane Wang, R. K. Ward, X. Wang",Deep learning for pixel-level image fusion: Recent advances and future prospects,"Information Fusion, vol. 42, no. 1, pp. 158-173, 2018.",
"V. Singhal, A. Majumdar and R. K. Ward",Semi-supervised Deep Blind Compressed Sensing for Analysis and Reconstruction of Biomedical Signals from Compressive Measurements,"in IEEE Access, vol. 1, no. 99, pp. 1-9, Dec 2017.",
"S. Valizadeh, P. Nasiopoulos and R. Ward",Perceptual Rate Distortion Optimization of 3D-HEVC using PSNR-HVS,"Springer Multimedia Tools and Applications, vol. 1, pp. 1-24, Dec 2017.",
"M. Elgendi, A. Mohamed, and R. Ward",Efficient ECG Compression and QRS Detection for E-Health Applications,"Scientific Report, Nature, vol. 7, no. 459,  doi:10.1038/s41598-017-00540-x, March 2017.",
"H. Bashashati, R. Ward",Ensemble of Neural Network Conditional Random Fields for Self-Paced Brain Computer Interfaces,"Advances in Science, Technology and Engineering Systems Journal, vol. 2, no. 3, pp. 996-1005, 2017.",
"D. Karimi, and R. Ward, R.",Sparse-view image reconstruction in cone-beam computed tomography with variance-reduced stochastic gradient descent and locally-adaptive proximal operation,"Journal of Medical and Biological Engineering, Engineering, vol. 37, no. 3, pp. 420-440, March 2017.",
